id|origin_language
532|['American']
533|['American']
534|['American']
535|['American']
536|['American']
537|['American']
538|['American']
539|['American']
540|['American']
541|['American']
542|['American']
543|['American']
544|['American']
545|['American']
546|['American']
547|['American']
548|['American']
549|['American']
550|['American']
551|['American']
552|['American']
553|['American']
554|['American']
555|['American']
556|['American']
557|['American']
558|['American']
559|['American']
560|['American']
561|['American']
562|['American']
563|['American']
564|['American']
565|['American']
566|['American']
567|['American']
568|['American']
569|['American']
570|['American']
571|['American']
572|['American']
573|['American']
574|['American']
575|['American']
576|['American']
577|['American']
578|['American']
579|['American']
580|['American']
581|['American']
582|['American']
583|['American']
584|['American']
585|['American']
586|['American']
587|['American']
588|['American']
589|['American']
590|['American']
591|['American']
592|['American']
593|['American']
594|['American']
595|['American']
596|['American']
597|['American']
598|['American']
599|['American']
600|['American']
601|['American']
602|['American']
603|['American']
604|['American']
605|['American']
606|['American']
607|['American']
608|['American']
609|['American']
610|['American']
611|['American']
612|['American']
613|['American']
614|['American']
615|['American']
616|['American']
617|['American']
618|['American']
619|['American']
620|['American']
621|['American']
622|['American']
623|['American']
624|['American']
625|['American']
626|['American']
627|['American']
628|['American']
629|['American']
630|['American']
631|['American']
632|['American']
633|['American']
634|['American']
635|['American']
636|['American']
637|['American']
638|['American']
639|['American']
640|['American']
641|['American']
642|['American']
643|['American']
644|['American']
645|['American']
646|['American']
647|['American']
648|['American']
649|['American']
650|['American']
651|['American']
652|['American']
653|['American']
654|['American']
655|['American']
656|['American']
657|['American']
658|['American']
659|['American']
660|['American']
661|['American']
662|['American']
663|['American']
664|['American']
665|['American']
666|['American']
667|['American']
668|['American']
669|['American']
670|['American']
671|['American']
672|['American']
673|['American']
674|['American']
675|['American']
676|['American']
677|['American']
678|['American']
679|['American']
680|['American']
681|['American']
682|['American']
683|['American']
684|['American']
685|['American']
686|['American']
687|['American']
688|['American']
689|['American']
690|['American']
691|['American']
692|['American']
693|['American']
694|['American']
695|['American']
696|['American']
697|['American']
698|['American']
699|['American']
700|['American']
701|['American']
702|['American']
703|['American']
704|['American']
705|['American']
706|['American']
707|['American']
708|['American']
709|['American']
710|['American']
711|['American']
712|['American']
713|['American']
714|['American']
715|['American']
716|['American']
717|['American']
718|['American']
719|['American']
720|['American']
721|['American']
722|['American']
723|['American']
724|['American']
725|['American']
726|['American']
727|['American']
728|['American']
729|['American']
730|['American']
731|['American']
732|['American']
733|['American']
734|['American']
735|['American']
736|['American']
737|['American']
738|['American']
739|['American']
740|['American']
741|['American']
742|['American']
743|['American']
744|['American']
745|['American']
746|['American']
747|['American']
748|['American']
749|['American']
750|['American']
751|['American']
752|['American']
753|['American']
754|['American']
755|['American']
756|['American']
757|['American']
758|['American']
759|['American']
760|['American']
761|['American']
762|['American']
763|['American']
764|['American']
765|['American']
766|['American']
767|['American']
768|['American']
769|['American']
770|['American']
771|['American']
772|['American']
773|['American']
774|['American']
775|['American']
776|['American']
777|['American']
778|['American']
779|['American']
780|['American']
781|['American']
782|['American']
783|['American']
784|['American']
785|['American']
786|['American']
787|['American']
788|['American']
789|['American']
790|['American']
791|['American']
792|['American']
793|['American']
794|['American']
795|['American']
796|['American']
797|['American']
798|['American']
799|['American']
800|['American']
801|['American']
802|['American']
803|['American']
804|['American']
805|['American']
806|['American']
807|['American']
808|['American']
809|['American']
810|['American']
811|['American']
812|['American']
813|['American']
814|['American']
815|['American']
816|['American']
817|['American']
818|['American']
819|['American']
820|['American']
821|['American']
822|['American']
823|['American']
824|['American']
825|['American']
826|['American']
827|['American']
828|['American']
829|['American']
830|['American']
831|['American']
832|['American']
833|['American']
834|['American']
835|['American']
836|['American']
837|['American']
838|['American']
839|['American']
840|['American']
841|['American']
842|['American']
843|['American']
844|['American']
845|['American']
846|['American']
847|['American']
848|['American']
849|['American']
850|['American']
851|['American']
852|['American']
853|['American']
854|['American']
855|['American']
856|['American']
857|['American']
858|['American']
859|['American']
860|['American']
861|['American']
862|['American']
863|['American']
864|['American']
865|['American']
866|['American']
867|['American']
868|['American']
869|['American']
870|['American']
871|['American']
872|['American']
873|['American']
874|['American']
875|['American']
876|['American']
877|['American']
878|['American']
879|['American']
880|['American']
881|['American']
882|['American']
883|['American']
884|['American']
885|['American']
886|['American']
887|['American']
888|['American']
889|['American']
890|['American']
891|['American']
892|['American']
893|['American']
894|['American']
895|['American']
896|['American']
897|['American']
898|['American']
899|['American']
900|['American']
901|['American']
902|['American']
903|['American']
904|['American']
905|['American']
906|['American']
907|['American']
908|['American']
909|['American']
910|['American']
911|['American']
912|['American']
913|['American']
914|['American']
915|['American']
916|['American']
917|['American']
918|['American']
919|['American']
920|['American']
921|['American']
922|['American']
923|['American']
924|['American']
925|['American']
926|['American']
927|['American']
928|['American']
929|['American']
930|['American']
931|['American']
932|['American']
933|['American']
934|['American']
935|['American']
936|['American']
937|['American']
938|['American']
939|['American']
940|['American']
941|['American']
942|['American']
943|['American']
944|['American']
945|['American']
946|['American']
947|['American']
948|['American']
949|['American']
950|['American']
951|['American']
952|['American']
953|['American']
954|['American']
955|['American']
956|['American']
957|['American']
958|['American']
959|['American']
960|['American']
