id|genre|release year|director|cast
9522|['comedy']|1978|['John Landis']|['Tim Matheson', 'Tom Hulce', 'John Belushi', 'John Vernon', 'Peter Riegert', 'Karen Allen', 'Verna Bloom', 'Stephen Furst', 'Kevin Bacon', 'Donald Sutherland']
9523|['adventure']|1978|['Charles Pierce']|['Lee Majors', 'Cornel Wilde', 'Mel Ferrer']
9524|['romance']|1978|['John Korty']|["Ryan O'Neal", 'Candice Bergen', 'Ray Milland']
9525|['family']|1978|['Richard Colla']|['Katharine Hepburn', 'Kevin McKenzie']
9526|['comedy']|1978|['Carl Reiner']|['Henry Winkler', 'Kim Darby']
9527|['drama']|1978|['Sylvester Stallone']|['Sylvester Stallone', 'Armand Assante', 'Anne Archer']
9528|['horror']|1978|['Joe Dante']|['Bradford Dillman', 'Barbara Steele', 'Dick Miller']
9529|['sci', 'fi']|1978|['James Shea']|['James Whitworth', 'Charlotte Speer']
9530|['drama']|1978|['Louis Malle']|['Brooke Shields', 'Susan Sarandon', 'Keith Carradine']
9531|['comedy']|1978|['Joan Rivers']|['Billy Crystal', 'Doris Roberts', 'Alex Rocco']
9532|['thriller']|1978|['Alan Rudolph']|['Geraldine Chaplin', 'Anthony Perkins', 'Moses Gunn']
9533|['family']|1978|['John Hough']|['Christopher Lee', 'Bette Davis', 'Jack Soo']
9534|['comedy']|1978|['Blake Edwards']|['Peter Sellers', 'Herbert Lom', 'Dyan Cannon']
9535|['drama']|1978|['Mark Rappaport']|['Randy Danson', 'Marilyn Jones', 'Kevin Wade']
9536|['comedy']|1978|['Ken Hughes']|['Mae West', 'Dom DeLuise', 'Tony Curtis']
9537|['musical']|1978|['Michael Schultz']|['Peter Frampton', 'The Bee Gees', 'George Burns']
9538|['crime', 'drama']|1978|['Daryl Duke']|['Elliott Gould', 'Christopher Plummer', 'Susannah York']
9539|['drama']|1978|['John G. Avildsen']|['Paul Sorvino', 'Anne Ditchburn']
9540|['comedy']|1978|['Lamont Johnson']|['Farrah Fawcett', 'Jeff Bridges']
9541|['crime', 'drama']|1978|['Ulu Grosbard']|['Dustin Hoffman', 'Theresa Russell', 'Gary Busey']
9542|['superhero', 'film']|1978|['Richard Donner']|['Marlon Brando', 'Gene Hackman', 'Christopher Reeve', 'Margot Kidder', 'Jackie Cooper', 'Ned Beatty', 'Valerie Perrine', 'Glenn Ford', 'Phyllis Thaxter', 'Susannah York', 'Jeff East']
9543|['disaster', 'film']|1978|['Irwin Allen']|['Michael Caine', 'Henry Fonda', 'Olivia de Havilland', 'Fred MacMurray', 'Richard Widmark', 'Katharine Ross', 'Bradford Dillman', 'Richard Chamberlain', 'Slim Pickens', 'Lee Grant']
9544|['comedy']|1978|['Robert Klane']|['Jeff Goldblum', 'Debra Winger', 'Donna Summer']
9545|['horror']|1978|['Dennis Donnelly']|['Cameron Mitchell']
9546|['drama']|1978|['Joseph Hanwright']|['Burt Young', 'Madge Sinclair']
9547|['drama']|1978|['Paul Mazursky']|['Jill Clayburgh', 'Alan Bates', 'Michael Murphy']
9548|['comedy']|1978|['Lou Adler']|['Cheech Marin', 'Tommy Chong', 'Tom Skerritt', 'Stacy Keach']
9549|['comedy']|1978|['Robert Altman']|['Carol Burnett', 'Lillian Gish', 'Mia Farrow', 'Desi Arnaz', 'Jr.', 'Lauren Hutton', 'Geraldine Chaplin', 'Vittorio Gassman', 'Howard Duff', 'Paul Dooley', 'Dina Merrill']
9550|['comedy']|1978|['Ted Kotcheff']|['George Segal', 'Jacqueline Bisset', 'Robert Morley']
9551|['drama', 'action']|1978|['Karel Reisz']|['Nick Nolte', 'Tuesday Weld', 'Michael Moriarty', 'Anthony Zerbe', 'Gail Strickland']
9552|['musical']|1978|['Sidney Lumet']|['Diana Ross', 'Michael Jackson', 'Nipsey Russell', 'Lena Horne']
9553|['thriller']|1978|['Burt Kennedy']|['Rod Steiger', 'David Huffman', 'Robin Mattson']
9554|['drama']|1978|['Noel Nosseck']|['Lawrence Hilton-Jacobs', 'T. K. Carter']
9555|['comedy']|1978|['Don Weis']|['Darren McGavin', 'Sylvia Miles', 'Joan Collins']
9556|['unknown']|1979|['Blake Edwards']|['Dudley Moore', 'Julie Andrews', 'Bo Derek', 'Robert Webber', 'Brian Dennehy', 'Dee Wallace']
9557|['unknown']|1979|['Steven Spielberg']|['John Belushi', 'Ned Beatty', 'Dan Aykroyd', 'John Candy', 'Toshirō Mifune', 'Robert Stack', 'Warren Oates', 'Tim Matheson', 'Nancy Allen', 'Bobby Di Cicco', 'Treat Williams', 'Slim Pickens']
9558|['unknown']|1979|['Michael Apted']|['Dustin Hoffman', 'Vanessa Redgrave']
9559|['unknown']|1979|['Ridley Scott']|['Sigourney Weaver', 'Tom Skerritt', 'Harry Dean Stanton', 'Veronica Cartwright', 'John Hurt', 'Ian Holm', 'Yaphet Kotto']
9560|['unknown']|1979|['Bob Fosse']|['Roy Scheider', 'Jessica Lange', 'Ann Reinking', 'Ben Vereen']
9561|['unknown']|1979|['Neal Israel']|['John Ritter', 'Harvey Korman', 'Fred Willard']
9562|['unknown']|1979|['Stuart Rosenberg']|['James Brolin', 'Margot Kidder', 'Rod Steiger']
9563|['unknown']|1979|['Norman Jewison']|['Al Pacino', 'John Forsythe', 'Christine Lahti', 'Jack Warden', 'Jeffrey Tambor']
9564|['unknown']|1979|['Greydon Clark']|['Sylvia Anderson', 'Peter Lawford', 'Jim Backus', 'Jack Palance']
9565|['unknown']|1979|['Francis Ford Coppola']|['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms', 'Laurence Fishburne', 'Dennis Hopper', 'Albert Hall']
9566|['unknown']|1979|['Vincent McEveety']|['Tim Conway', 'Don Knotts', 'Tim Matheson']
9567|['unknown']|1979|['Richard Fleischer']|['Michael Caine', 'Peter Ustinov', 'Beverly Johnson']
9568|['unknown']|1979|['Mark Robson']|['Lee Marvin', 'Robert Shaw', 'Joe Namath']
9569|['comedy']|1979|['Hal Ashby']|['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas', 'Richard Basehart', 'Richard A. Dysart', 'Jack Warden']
9570|['comedy']|1979|['Russ Meyer']|['Ken Kerr', 'Kitten Natividad', 'Uschi Digard']
9571|['action']|1979|['Irwin Allen']|['Michael Caine', 'Sally Field', 'Telly Savalas', 'Shirley Jones', 'Karl Malden', 'Mark Harmon']
9572|['biography']|1979|['Richard Marquand']|['Stephen MacKenna', 'Rod Culbertson']
9573|['science', 'fiction']|1979|['Gary Nelson']|['Ernest Borgnine', 'Anthony Perkins', 'Yvette Mimieux', 'Maximilian Schell']
9574|['family']|1979|['Carroll Ballard']|['Teri Garr', 'Mickey Rooney', 'Kelly Reno', 'Hoyt Axton']
9575|['drama']|1979|['Terence Young']|['Audrey Hepburn', 'Ben Gazzara', 'James Mason']
9576|['drama', 'comedy']|1979|['Peter Yates']|['Dennis Christopher', 'Dennis Quaid', 'Daniel Stern', 'Jackie Earle Haley', 'Paul Dooley', 'Barbara Barrie']
9577|['animated']|1979|['Phil Monroe', 'Chuck Jones']|['Voices of Mel Blanc']
9578|['western']|1979|['Richard Lester']|['Tom Berenger', 'William Katt']
9579|['family']|1979|['Don Chaffey']|['Wesley Eure', 'Valerie Bertinelli']
9580|['drama']|1979|['John D. Hancock']|["Glynnis O'Connor", 'Dennis Christopher', 'Seymour Cassel']
9581|['historical', 'erotic']|1979|['Tinto Brass']|['Malcolm McDowell', 'John Gielgud', "Peter O'Toole", 'Helen Mirren']
9582|['mystery']|1979|['Radley Metzger']|['Olivia Hussey', 'Honor Blackman']
9583|['drama']|1979|['Franco Zeffirelli']|['Jon Voight', 'Rick Schroder', 'Faye Dunaway']
9584|['comedy', 'drama']|1979|['Robert Moore']|['James Caan', 'Marsha Mason', 'Joseph Bologna', 'Valerie Harper']
9585|['drama']|1979|['Hall Bartlett']|['Anthony Quinn', 'Dolores del Río', 'Katy Jurado']
9586|['thriller']|1979|['James Bridges']|['Jane Fonda', 'Jack Lemmon', 'Michael Douglas']
9587|['disaster', 'film']|1979|['Alvin Rakoff']|['Susan Clark', 'Barry Newman', 'Ava Gardner']
9588|['drama', 'thriller']|1979|['David Lowell Rich']|['George Kennedy', 'Alain Delon', 'Charo', 'Robert Wagner', 'Susan Blakely']
9589|['drama']|1979|['Richard Lester']|['Sean Connery', 'Brooke Adams', 'Chris Sarandon', 'Jack Weston']
9590|['horror']|1979|['John Badham']|['Frank Langella', 'Laurence Olivier']
9591|['horror']|1979|['Abel Ferrara']|['Abel Ferrara', 'Carolyn Marz']
9592|['romantic', 'comedy']|1979|['Sydney Pollack']|['Robert Redford', 'Jane Fonda', 'Willie Nelson']
9593|['drama']|1979|['Don Siegel']|['Clint Eastwood', 'Patrick McGoohan', 'Fred Ward']
9594|['comedy', 'sports']|1979|['Jack Smight']|['Gabe Kaplan', 'Harold Sylvester']
9595|['comedy', 'sports']|1979|['Gilbert Moses']|['Jonathan Winters', 'Julius Erving', 'Flip Wilson']
9596|['action']|1979|['Paul Aaron']|['Chuck Norris', "Jennifer O'Neill", 'Clu Gulager']
9597|['comedy', 'drama']|1979|['Willard Huyck']|['Miles Chapin', 'Blanche Baker', 'Debra Winger']
9598|['western', 'comedy']|1979|['Robert Aldrich']|['Gene Wilder', 'Harrison Ford']
9599|['action']|1979|['Ross Hagen']|['John Saxon', 'Joanna Cassidy', 'Roosevelt Grier', 'Joan Blondell']
9600|['comedy', 'drama']|1979|['Martin Brest']|['George Burns', 'Art Carney', 'Lee Strasberg']
9601|['drama', 'sports']|1979|['Joseph Sargent']|['Susan Anton', 'Leslie Caron', 'James Coburn']
9602|['drama']|1979|['Lewis Carlino']|['Robert Duvall', 'Blythe Danner', "Michael O'Keefe", 'Stan Shaw']
9603|['musical']|1979|['Miloš Forman']|['Treat Williams', "Beverly D'Angelo", 'John Savage']
9604|['drama']|1979|['Peter Hyams']|['Harrison Ford', 'Lesley-Anne Down', 'Christopher Plummer']
9605|['drama']|1979|['Paul Schrader']|['George C. Scott', 'Season Hubley', 'Peter Boyle']
9606|['drama']|1979|['Joan Micklin Silver']|['Mary Beth Hurt', 'John Heard']
9607|['comedy']|1979|['Dom DeLuise']|['Dom DeLuise', 'Suzanne Pleshette', 'Jerry Reed']
9608|['drama']|1979|['Gregory Goodell']|['Aldo Ray', 'Linda Haynes', 'Geoffrey Lewis']
9609|['adventure']|1979|['Jan Troell']|['Mia Farrow', 'Jason Robards', 'Max von Sydow']
9610|['comedy']|1979|['Arthur Hiller']|['Peter Falk', 'Alan Arkin']
9611|['spy']|1979|['Ernest Pintoff']|['Christopher Lee', 'Barbara Bach', 'Capucine']
9612|['comedy']|1979|['Carl Reiner']|['Steve Martin', 'Bernadette Peters']
9613|['comedy']|1979|['Leonard B. Stern']|['George Burns', 'Brooke Shields']
9614|['drama']|1979|['Robert Benton']|['Dustin Hoffman', 'Justin Henry', 'Meryl Streep', 'Jane Alexander', 'JoBeth Williams', 'Howard Duff']
9615|['mystery']|1979|['Anthony Page']|['Elliott Gould', 'Cybill Shepherd']
9616|['suspense']|1979|['Jonathan Demme']|['Roy Scheider', 'Janet Margolin']
9617|['comedy']|1979|['George Roy Hill']|['Laurence Olivier', 'Sally Kellerman', 'Diane Lane']
9618|['comedy']|1979|['Melvin Frank']|['Glenda Jackson', 'George Segal']
9619|['crime']|1979|['Stuart Rosenberg']|['Charles Bronson', 'Jill Ireland']
9620|['comedy']|1979|['Stan Dragoti']|['George Hamilton', 'Susan Saint James']
9621|['comedy']|1979|['Howard Zieff']|['Barbra Streisand', "Ryan O'Neal"]
9622|['drama']|1979|['Menahem Golan']|['Alan Arkin', 'Valerie Perrine']
9623|['comedy', 'drama']|1979|['Woody Allen']|['Woody Allen', 'Diane Keaton', 'Mariel Hemingway', 'Meryl Streep']
9624|['disaster', 'film', 'sci', 'fi']|1979|['Ronald Neame']|['Sean Connery', 'Natalie Wood', 'Karl Malden']
9625|['comedy', 'drama']|1979|['Bill L. Norton']|['Ron Howard', 'Candy Clark', 'Paul LeMat']
9626|['comedy']|1979|["Michael O'Donoghue"]|['Dan Aykroyd', 'Jane Curtin', 'Teri Garr']
9627|['comedy', 'family']|1979|['James Frawley']|['James Coburn', 'Mel Brooks', 'Orson Welles']
9628|['crime', 'comedy']|1979|['Ralph Thomas']|['David Niven', 'Elke Sommer', 'Richard Jordan']
9629|['horror']|1979|['Arthur Hiller']|['Nick Mancuso', 'David Warner', 'Kathryn Harrold']
9630|['drama']|1979|['Martin Ritt']|['Sally Field', 'Ron Leibman', 'Beau Bridges']
9631|['comedy', 'family']|1979|['Bruce Bilson']|['Edward Herrmann', 'Cloris Leachman', 'Susan Clark', 'Karen Valentine']
9632|['drama', 'sports']|1979|['Ted Kotcheff']|['Nick Nolte', 'Mac Davis', 'G. D. Spradlin', 'Charles Durning', 'Dabney Coleman', 'Dayle Haddon']
9633|['crime', 'drama']|1979|['Harold Becker']|['James Woods', 'John Savage', 'Ted Danson']
9634|['drama']|1979|['Jonathan Kaplan']|['Matt Dillon', 'Vincent Spano']
9635|['sci', 'fi']|1979|['Robert S. Fiveson']|['Peter Graves', 'Keenan Wynn']
9636|['action']|1979|['Jamaa Fanaka']|['Leon Issac Kennedy', 'Badja Djola']
9637|['comedy']|1979|['Robert Altman']|['Paul Dooley', 'Marta Heflin', 'Henry Gibson']
9638|['horror']|1979|['Don Coscarelli']|['Reggie Bannister', 'Angus Scrimm']
9639|['comedy']|1979|['Richard Quine']|['Peter Sellers', 'Elke Sommer', 'Lionel Jeffries']
9640|['comedy']|1979|['Michael Preece']|['Don Knotts', 'Tim Conway']
9641|['drama']|1979|['Gilbert Cates']|['Kathleen Quinlan', 'Stephen Collins']
9642|['drama']|1979|['Jerome Hellman']|['Marsha Mason', 'Ned Beatty']
9643|['horror']|1979|['John Frankenheimer']|['Robert Foxworth', 'Talia Shire', 'Armand Assante']
9644|['drama']|1979|['Robert Altman']|['Paul Newman', 'Fernando Rey']
9645|['comedy']|1979|['Albert Brooks']|['Albert Brooks', 'Charles Grodin']
9646|['comedy']|1979|['Allan Arkush']|['P. J. Soles', 'Mary Woronov', 'Ramones']
9647|['drama']|1979|['Sylvester Stallone']|['Sylvester Stallone', 'Carl Weathers', 'Talia Shire', 'Burgess Meredith', 'Burt Young']
9648|['drama']|1979|['Mark L. Lester']|['Linda Blair', 'Jim Bray', 'Beverly Garland', 'Mark Goddard']
9649|['drama']|1979|['Mark Rydell']|['Bette Midler', 'Alan Bates', 'Frederic Forrest']
9650|['comedy']|1979|['Michael Schultz']|['Cloris Leachman', 'Cleavon Little', 'Tony Randall']
9651|['drama']|1979|['Jerry Schatzberg']|['Alan Alda', 'Meryl Streep', 'Rip Torn', 'Barbara Harris', 'Melvyn Douglas']
9652|['comedy']|1979|['William A. Levey']|['Scott Baio', 'Flip Wilson', 'Patrick Swayze']
9653|['comedy']|1979|['David Helpern']|['Susan Sarandon', 'David Steinberg']
9654|['science', 'fiction']|1979|['Robert Wise']|['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'Persis Khambatta', 'Nichelle Nichols', 'George Takei']
9655|['romantic', 'comedy']|1979|['Alan J. Pakula']|['Burt Reynolds', 'Jill Clayburgh', 'Candice Bergen']
9656|['drama', 'sports']|1979|['Kieth Merrill']|['Lorenzo Lamas', 'Edward Herrmann', 'Kathleen Lloyd']
9657|['drama']|1979|['Rudy Durand']|['Brooke Shields', 'Charles Durning']
9658|['sci', 'fi', 'drama']|1979|['Nicholas Meyer']|['Malcolm McDowell', 'David Warner', 'Mary Steenburgen']
9659|['horror']|1979|['David Schmoeller']|['Chuck Connors', 'Jocelyn Jones', 'Tanya Roberts']
9660|['western', 'comedy']|1979|['Hal Needham']|['Kirk Douglas', 'Ann-Margret', 'Arnold Schwarzenegger']
9661|['horror']|1979|['Giulio Paradisi']|['Glenn Ford', 'Shelley Winters', 'Steve Somers']
9662|['western']|1979|['Peter Fonda']|['Peter Fonda', 'Brooke Shields']
9663|['drama']|1979|['Philip Kaufman']|['Ken Wahl', 'Karen Allen', 'Val Avery']
9664|['action']|1979|['Walter Hill']|['James Remar', 'Michael Beck', 'David Patrick Kelly', 'Dorsey Wright', 'Lynne Thigpen']
9665|['thriller']|1979|['Fred Walton']|['Carol Kane', 'Charles Durning']
9666|['drama']|1979|['William Richert']|['Jeff Bridges', 'Anthony Perkins', 'Sterling Hayden', 'Eli Wallach', 'Richard Boone']
9667|['drama']|1979|['John Huston']|['Brad Dourif', 'John Huston', 'Ned Beatty']
9668|['horror']|1979|['Worth Keeter', 'Earl Owensby']|['Earl Owensby', 'Ed Grady']
9669|['drama', 'war']|1979|['John Schlesinger']|['Richard Gere', 'Vanessa Redgrave', 'Lisa Eichhorn']
9670|['unknown']|1980|['Jim Abrahams', 'Jerry Zucker']|['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Peter Graves', 'Robert Stack', 'Lloyd Bridges', 'Kareem Abdul-Jabbar']
9671|['unknown']|1980|['Fred Olen Ray']|['Buster Crabbe']
9672|['unknown']|1980|['Lewis Teague']|['Robert Forster', 'Robin Riker']
9673|['unknown']|1980|['Ken Russell']|['William Hurt', 'Blair Brown']
9674|['unknown']|1980|['Paul Schrader']|['Richard Gere', 'Lauren Hutton', 'Héctor Elizondo']
9675|['unknown']|1980|['Steven Lisberger']|['Billy Crystal']
9676|['unknown']|1980|["Joe D'Amato"]|['Tisa Farrow', 'Serena Grandi']
9677|['unknown']|1980|['Buddy Van Horn']|['Clint Eastwood', 'Geoffrey Lewis', 'Sondra Locke']
9678|['unknown']|1980|['Louis Malle']|['Burt Lancaster', 'Susan Sarandon']
9679|['sci', 'fi']|1980|['Bertrand Tavernier']|['Harvey Keitel', 'Romy Schneider', 'Harry Dean Stanton']
9680|['mystery']|1980|['Alan Beattie']|['Patricia Pearcy', 'David Hayward']
9681|['comedy']|1980|['Jeff Werner']|['Robby Benson', 'Charles Durning', 'Elsa Lanchester']
9682|['war']|1980|['John Irvin']|['Christopher Walken', 'Tom Berenger', 'Colin Blakely']
9683|['horror']|1980|['James Bryan']|['Mary Gail Artz']
9684|['thriller']|1980|['Brian De Palma']|['Michael Caine', 'Angie Dickinson', 'Nancy Allen', 'Keith Gordon', 'Dennis Franz']
9685|['adventure']|1980|['Peter Collinson']|['William Holden', 'Rick Schroder']
9686|['drama', 'biography']|1980|['David Lynch']|['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']
9687|['thriller']|1980|['James Glickenhaus']|['Robert Ginty', 'Samantha Eggar']
9688|['horror']|1980|['Vernon Zimmerman']|['Dennis Christopher', 'Linda Kerridge']
9689|['drama', 'musical']|1980|['Alan Parker']|['Irene Cara', 'Debbie Allen', 'Maureen Teefy']
9690|['comedy', 'drama']|1980|['Anne Bancroft']|['Dom DeLuise', 'Anne Bancroft', 'Candice Azzara']
9691|['comedy']|1980|['Piers Haggard']|['Peter Sellers', 'Sid Caesar', 'Helen Mirren']
9692|['science', 'fiction']|1980|['Don Taylor']|['Kirk Douglas', 'Katharine Ross', 'Martin Sheen']
9693|['thriller']|1980|['Brian G. Hutton']|['Frank Sinatra', 'Faye Dunaway', 'David Dukes', 'Brenda Vaccaro', 'James Whitmore']
9694|['comedy']|1980|['Buck Henry']|['Bob Newhart', 'Madeline Kahn', 'Gilda Radner', 'Richard Benjamin', 'Fred Willard']
9695|['science', 'fiction']|1980|['Mike Hodges']|['Timothy Dalton', 'Sam J. Jones', 'Max von Sydow', 'Melody Anderson']
9696|['horror']|1980|['John Carpenter']|['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh', 'John Houseman', 'Hal Holbrook']
9697|['romance']|1980|['Richard T. Heffron']|['Gary Busey', "Annette O'Toole", 'Cloris Leachman', 'William H. Macy', 'Tony Randall', 'Eddie Albert']
9698|['thriller']|1980|['John G. Avildsen']|['George C. Scott', 'Marlon Brando']
9699|['drama']|1980|['Adrian Lyne']|['Scott Baio', 'Jodie Foster', 'Randy Quaid']
9700|['horror']|1980|['Sean S. Cunningham']|['Betsy Palmer', 'Adrienne King', 'Kevin Bacon']
9701|['sci', 'fi']|1980|['William Sachs']|['Dorothy Stratten']
9702|['crime', 'drama']|1980|['John Cassavetes']|['Gena Rowlands']
9703|['comedy']|1980|['Chuck Barris']|['Chuck Barris']
9704|['science', 'fiction']|1980|['James L. Conway']|['Gary Collins', 'Darren McGavin', 'Robert Vaughn']
9705|['horror']|1980|['Armand Hamson']|['Don Scardino']
9706|['comedy']|1980|['Robert Altman']|['Carol Burnett', 'James Garner', 'Glenda Jackson', 'Lauren Bacall', 'Dick Cavett']
9707|['romance']|1980|['John Byrum']|['Nick Nolte', 'Sissy Spacek', 'John Heard']
9708|['western']|1980|['Michael Cimino']|['Kris Kristofferson', 'Christopher Walken', 'Isabelle Huppert', 'John Hurt', 'Jeff Bridges', 'Sam Waterston', 'Mickey Rourke']
9709|['comedy']|1980|['Vincent McEveety']|['Cloris Leachman', 'Harvey Korman']
9710|['comedy']|1980|['Martin Davidson']|['Anne Archer', 'John Ritter']
9711|['comedy']|1980|['Floyd Mutrux']|['Tony Danza', 'Fran Drescher', 'Michelle Pfeiffer']
9712|['drama']|1980|['Jerry Schatzberg']|['Willie Nelson', 'Dyan Cannon', 'Amy Irving']
9713|['mystery']|1980|['Ronald Neame']|['Walter Matthau', 'Glenda Jackson', 'Ned Beatty', 'Sam Waterston']
9714|['science', 'fiction']|1980|['Barbara Peters']|['Doug McClure', 'Vic Morrow', 'Ann Turkel']
9715|['drama']|1980|['Taylor Hackford']|['Ray Sharkey', 'Peter Gallagher', 'Joe Pantoliano']
9716|['thriller']|1980|['Donald W. Thompson']|['William Wellman', 'Jr.']
9717|['comedy']|1980|['Marty Feldman']|['Peter Boyle', 'Andy Kaufman', 'Richard Pryor']
9718|['drama']|1980|['Richard Donner']|['David Morse', 'John Savage', 'Diana Scarwid', 'Harold Russell']
9719|['romantic', 'comedy']|1980|['Claudia Weill']|['Jill Clayburgh', 'Michael Douglas', 'Charles Grodin', 'Beverly Garland']
9720|['drama', 'musical']|1980|['Richard Fleischer']|['Neil Diamond', 'Laurence Olivier', 'Lucie Arnaz']
9721|['romantic', 'comedy']|1980|['Sidney Lumet']|['Alan King', 'Ali MacGraw', 'Peter Weller', 'Myrna Loy', 'Keenan Wynn', 'Dina Merrill']
9722|['thriller']|1980|['George Mendeluk']|['Ava Gardner', 'Van Johnson', 'William Shatner']
9723|['action']|1980|['Ivan Hall']|['Charlotte Michelle', 'James Ryan']
9724|['adventure', 'family']|1980|['Charles Jarrott']|['Elliott Gould', 'Rick Schroder']
9725|['comedy']|1980|['Gil Cates']|['George Segal', 'Natalie Wood']
9726|['science', 'fiction']|1980|['David Loxton']|['Kevin Conway', 'Bruce Davison']
9727|['western']|1980|['James W. Roberson']|['Patrick Day']
9728|['comedy']|1980|['Ronald F. Maxwell']|["Tatum O'Neal", 'Kristy McNichol', 'Matt Dillon', 'Armand Assante', 'Cynthia Nixon']
9729|['comedy']|1980|['Walter Bernstein']|['Walter Matthau', 'Julie Andrews', 'Bob Newhart', 'Tony Curtis']
9730|['western']|1980|['Walter Hill']|['David Carradine', 'Keith Carradine', 'Robert Carradine', 'Randy Quaid', 'Dennis Quaid', 'Stacy Keach', 'James Keach', 'Christopher Guest', 'Nicholas Guest']
9731|['romance']|1980|['Jack Smight']|['Shirley MacLaine', 'James Coburn', 'Susan Sarandon']
9732|['comedy']|1980|['Robert Day']|['Robert Sacchi', 'Victor Buono', 'Misty Rowe']
9733|['horror']|1980|['William Lustig']|['Caroline Munro', 'Joe Spinell']
9734|['comedy', 'biography']|1980|['Jonathan Demme']|['Jason Robards', 'Paul LeMat', 'Mary Steenburgen']
9735|['comedy']|1980|['John Trent']|['Bruce Dern', 'Ann-Margret']
9736|['comedy']|1980|['Michael Nankin', 'David Wechter']|['Michael J. Fox', 'David Naughton']
9737|['mystery']|1980|['Guy Hamilton']|['Angela Lansbury', 'Rock Hudson', 'Elizabeth Taylor', 'Tony Curtis', 'Kim Novak']
9738|['comedy']|1980|['Roy Ward Baker']|['Vincent Price']
9739|['horror']|1980|['Kevin Connor']|['Rory Calhoun']
9740|['horror']|1980|['Charles Kaufman']|['Nancy Hendrickson', 'Deborah Luce']
9741|['adventure']|1980|['Richard Lang']|['Charlton Heston', 'Brian Keith', 'Seymour Cassel']
9742|['drama']|1980|['Tony Bill']|['Adam Baldwin', 'Matt Dillon', 'Chris Makepeace']
9743|['horror']|1980|['James C. Wasson']|['Joy Allen', 'Bob Collins']
9744|['thriller']|1980|['Ted Post']|['Robert Mitchum', 'Jaclyn Smith', 'James Franciscus']
9745|['comedy']|1980|['Colin Higgins']|['Jane Fonda', 'Dolly Parton', 'Lily Tomlin', 'Dabney Coleman', 'Elizabeth Wilson', 'Sterling Hayden']
9746|['drama']|1980|['William Peter Blatty']|['Stacy Keach', 'Jason Miller', 'Ed Flanders']
9747|['action']|1980|['Eric Karson']|['Chuck Norris']
9748|['comedy']|1980|['Joe Camp']|['Chevy Chase', 'Jane Seymour', 'Omar Sharif']
9749|['drama']|1980|['Robert Redford']|['Mary Tyler Moore', 'Donald Sutherland', 'Timothy Hutton', 'Judd Hirsch', 'Elizabeth McGovern']
9750|['drama']|1980|['Cliff Robertson']|['Cliff Robertson', 'Diane Baker']
9751|['musical', 'comedy']|1980|['Robert Altman']|['Robin Williams', 'Shelley Duvall', 'Paul Dooley']
9752|['comedy']|1980|['Rick Friedberg']|['Rosemary Alexander', 'Dabney Coleman']
9753|['comedy']|1980|['Howard Zieff']|['Goldie Hawn', 'Armand Assante', 'Eileen Brennan', 'Albert Brooks']
9754|['comedy']|1980|['Lang Elliott']|['Tim Conway', 'Don Knotts', 'Trisha Noble']
9755|['horror']|1980|['Paul Lynch']|['Jamie Lee Curtis', 'Leslie Nielsen']
9756|['science', 'fiction']|1980|['Jack M. Sell']|['Peter Spelson']
9757|['biography', 'drama']|1980|['Martin Scorsese']|['Robert De Niro', 'Joe Pesci', 'Cathy Moriarty']
9758|['action']|1980|['Jerry Jameson']|['Jason Robards', 'Alec Guinness', 'Anne Archer']
9759|['animation']|1980|['Jules Bass']|['Orson Bean', 'John Huston', 'Roddy McDowall']
9760|['comedy', 'musical']|1980|['Alan Rudolph']|['Art Carney', 'Meat Loaf']
9761|['crime', 'comedy']|1980|['Don Siegel']|['Burt Reynolds', 'David Niven', 'Lesley-Anne Down']
9762|['action']|1980|['Paul Glickler']|['Judge Reinhold', 'Ken Wahl']
9763|['science', 'fiction']|1980|['Stanley Donen']|['Kirk Douglas', 'Farrah Fawcett', 'Harvey Keitel']
9764|['horror']|1980|['David Paulsen']|['Marianna Hill', 'Craig Wasson']
9765|['drama']|1980|['Alan J. Levi']|['Lindsay Wagner', 'Marie-France Pisier', 'Barry Bostwick', 'Kim Cattrall', 'Efrem Zimbalist', 'Jr.', 'Nick Mancuso', 'Connie Stevens', 'Gene Tierney']
9766|['action', 'war']|1980|['Andrew V. McLaglen']|['Roger Moore', 'Gregory Peck']
9767|['comedy']|1980|['Jay Sandrich']|['Chevy Chase', 'Goldie Hawn', 'Charles Grodin']
9768|['comedy']|1980|['Bill Persky']|['Martin Mull', 'Tuesday Weld', 'Christopher Lee']
9769|['horror']|1980|['Stanley Kubrick']|['Jack Nicholson', 'Shelley Duvall', 'Scatman Crothers', 'Danny Lloyd', 'Anne Jackson', 'Barry Nelson']
9770|['horror']|1980|['Denny Harris']|['Cameron Mitchell', 'Yvonne De Carlo']
9771|['comedy']|1980|['Marshall Brickman']|['Alan Arkin', 'Madeline Kahn', 'Austin Pendleton']
9772|['action', 'comedy']|1980|['Hal Needham']|['Burt Reynolds', 'Sally Field', 'Jackie Gleason', 'Jerry Reed', 'Dom DeLuise']
