id|genre|release year|director|cast
76|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Mabel Normand', 'Chester Conklin']
77|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Mabel Normand', 'Phyllis Allen']
78|['drama']|1914|['Edward LeSaint']|['Earle Foxe', 'Bertram Grassby']
79|['unknown']|1914|['J. Farrell MacDonald']|['Violet MacMillan', 'Pierre Couderc']
80|['unknown']|1914|['Charlie Chaplin', 'Mabel Normand']|['Comedy']
81|['biographical', 'drama']|1914|['D. W. Griffith']|['Earle Foxe', 'Henry B. Walthall', 'Dorothy Gish']
82|['unknown']|1914|['unknown']|['William Garwood']
83|['documentary', 'drama']|1914|['Edward S. Curtis']|['unknown']
84|['comedy']|1914|['Charles Avery']|['Charlie Chaplin', 'Fatty Arbuckle', 'Edgar Kennedy']
85|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Fritz Schade']
86|['comedy']|1914|['Mabel Normand', 'Mack Sennett']|['Charlie Chaplin', 'Mabel Normand']
87|['comedy']|1914|['Mabel Normand']|['Mabel Normand', 'Charly Chase', 'Al St. John']
88|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Mabel Normand']
89|['comedy']|1914|['Henry Lehrman']|['Charlie Chaplin', 'Mabel Normand']
90|['comedy']|1914|['Henry Lehrman']|['Charlie Chaplin', 'Virginia Kirtley', 'Alice Davenport']
91|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Fatty Arbuckle']
92|['fantasy']|1914|['Herbert Brenon']|['Annette Kellerman', 'William E. Shay', 'William Welsh']
93|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Jess Dandy', 'John T. Dillon']
94|['adventure', 'serial']|1914|['Louis J. Gasnier']|['Pearl White']
95|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Phyllis Allen', 'Alice Davenport']
96|['unknown']|1914|['Charles Chaplin']|['Charles Chaplin']
97|['western']|1914|['Cecil B. DeMille']|['Bessie Barriscale', 'Jane Darwell', 'Jeanie MacPherson']
98|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Fatty Arbuckle', 'Phyllis Allen']
99|['western']|1914|['William Nigh']|['Beatriz Michelena', 'House Peters']
100|['drama']|1914|['Edwin McKim']|['Lea Leland', 'Leonid Samoloff']
101|['western']|1914|['Oscar Apfel', 'Cecil B. DeMille']|['Dustin Farnum']
102|['unknown']|1914|['William Desmond Taylor']|['William Garwood', 'Harry von Meter']
103|['comedy']|1914|['Charlie Chaplin']|['Charlie Chaplin', 'Chester Conklin', 'Cecile Arnold']
104|['comedy']|1914|['Mack Sennett']|['Charlie Chaplin', 'Marie Dressler', 'Mabel Normand', 'Keystone Kops']
105|['drama']|1914|['Reginald Barker']|['Sessue Hayakawa', 'Tsuru Aoki', 'Frank Borzage']
106|['comedy']|1915|['Cecil B. DeMille']|['Edward Abeles', 'Sessue Hayakawa']
107|['historical', 'drama']|1915|['J. Gordon Edwards']|['Betty Nansen', 'Edward José']
108|['epic']|1915|['D. W. Griffith']|['Lillian Gish', 'Mae Marsh']
109|['unknown']|1915|['B. Reeves Eason']|['Vivian Rich', 'Gayne Whitman']
110|['historical']|1915|['Cecil B. DeMille']|['Blanche Sweet', 'House Peters']
111|['adventure']|1915|['Cecil B. DeMille']|['Geraldine Farrar', 'Wallace Reid']
112|['comedy', 'short']|1915|['Charles Chaplin']|['Charles Chaplin']
113|['drama']|1915|['Cecil B. DeMille']|['Fannie Ward', 'Sessue Hayakawa']
114|['comedy', 'western']|1915|['Cecil B. DeMille']|['Victor Moore']
115|['drama']|1915|['Christy Cabanne']|['Alfred Paget', 'Lillian Gish']
116|['drama']|1915|['Frank Powell']|['Theda Bara', 'Edward Jose']
117|['drama']|1915|['J. Searle Dawley']|['Edgar L. Davenport', 'Fuller Mellish']
118|['comedy']|1915|['Hal Roach']|['Harold Lloyd']
119|['comedy']|1915|['Hal Roach']|['Harold Lloyd']
120|['unknown']|1915|['George Foster Platt']|['Audrey Munson', 'Thomas A. Curran']
121|['drama']|1915|['Reginald Barker']|['George Beban', 'Clara Williams']
122|['comedy']|1915|['Mack Sennett']|['Charley Chase', 'Dora Rodgers']
123|['comedy', 'short']|1915|['Edwin Middleton']|['W. C. Fields']
124|['biography']|1915|['Charles Brabin']|['Henry Walthall']
125|['drama']|1915|['Herbert Brenon']|['Valeska Suratt']
126|['drama']|1915|['Thomas H. Ince']|['Louise Glaum']
127|['comedy', 'short']|1915|['Charles Chaplin']|['Charles Chaplin']
128|['drama']|1915|['Cecil B. DeMille']|['Blanche Sweet', 'James Neill']
129|['comedy']|1915|['Charlie Chaplin']|['Charles Chaplin', 'Edna Purviance']
130|['action', 'adventure']|1916|['Stuart Paton']|['Lois Alexander', 'Curtis Benton', 'Wallace Clarke', 'Allen Holubar']
131|['drama']|1916|['Donald MacDonald']|['Forrest Taylor', 'Harry von Meter', 'Helene Rosson']
132|['western', 'drama']|1916|['William S. Hart']|['William S. Hart', 'Louise Glaum', 'Bessie Love']
133|['drama']|1916|['Edgar Lewis']|['William Farnum', 'Dorothy Bernard', 'L.O. Hart,']
134|['drama']|1916|['Reginald Barker']|['Howard C. Hickman', 'Enid Markey', 'George Fisher']
135|['drama']|1916|['Herbert Brenon']|['Annette Kellerman', 'Hal De Forrest']
136|['drama']|1916|['Frederick Sullivan']|['Florence La Badie', 'Edwin Stanley', 'Ethelmary Oakland']
137|['short', 'comedy']|1916|['Roscoe "Fatty" Arbuckle']|['Roscoe "Fatty" Arbuckle', 'Mabel Normand']
138|['short', 'comedy']|1916|['Charlie Chaplin']|['Charlie Chaplin', 'Edna Purviance', 'Lloyd Bacon']
139|['unknown']|1916|['William S. Hart', 'Charles Swickard', 'Clifford Smith']|['William S. Hart', 'Clara Williams']
140|['comedy–drama']|1916|['Lloyd Ingraham']|['Mae Marsh', 'Robert Harron']
141|['drama']|1916|["John B. O'Brien"]|['Mary Pickford', 'Frank Losee']
142|['historical']|1916|['Cecil B. DeMille']|['Geraldine Farrar']
143|['drama']|1916|['Van Dyke Brooke']|['Leah Baird', 'Walter McGrail', 'Adele DeGarde']
144|['short', 'comedy']|1916|['Hal Roach']|['Harold Lloyd', 'Bebe Daniels']
145|['drama']|1916|['George F. Marion']|['Dorothy Donnelly', 'John Bowers']
146|['unknown']|1916|['William Russell', 'Jack Prescott']|['Charlotte Burton', 'Harry Keenan']
147|['comedy']|1916|['Allan Dwan']|['Douglas Fairbanks', 'Jewel Carmen']
148|['short', 'comedy']|1916|['Charlie Chaplin']|['Charlie Chaplin']
149|['romantic', 'drama']|1916|['Tom Ricketts']|['Harold Lockwood', 'May Allison']
150|['mystery']|1916|['Arthur Berthelet']|['William Gillette', 'Edward Fielding']
151|['drama']|1916|['Ulysses Davis']|['Patricia Palmer']
152|['drama']|1916|['Reginald Barker', 'Thomas H. Ince']|['Frank Keenan', 'Mary Boland']
153|['drama']|1916|['J. Gordon Edwards']|['Theda Bara', 'Herbert Heyes']
154|['crime', 'drama']|1916|['Phillips Smalley']|['Tyrone Power', 'Sr.', 'Juan de la Cruz']
155|['drama']|1916|['William C. Dowlan']|['Mary Miles Minter', 'Wallace MacDonald']
156|['comedy']|1917|['Alfred J. Goulding']|['Harold Lloyd', 'Bebe Daniels']
157|['crime', 'drama']|1917|['Chester Withey']|['Robert Harron', 'Richard Cummings']
158|['western']|1917|['John Ford']|['Harry Carey', 'Molly Malone']
159|['comedy']|1917|["'Fatty' Arbuckle"]|["'Fatty' Arbuckle / Buster Keaton"]
160|['drama']|1917|['J. Gordon Edwards']|['Theda Bara', 'Alan Roscoe']
161|['western']|1917|['John Ford']|['Harry Carey', 'Gertrude Astor']
